stimulus_presentations_id,stimulus_block,stimulus_block_name,image_index,image_name,movie_frame_index,duration,start_time,end_time,start_frame,end_frame,is_change,is_image_novel,omitted,movie_repeat,flashes_since_change,trials_id,is_sham_change,active,stimulus_name
85,1,change_detection_behavior,6,im085,-99,0.2501900000000319,369.7890378311111,370.03922783111113,21763,21778,False,False,False,-99,14,13,False,True,Natural_Images_Lum_Matched_set_training_2017
86,1,change_detection_behavior,6,im085,-99,0.2503900000000385,370.5396478311111,370.79003783111114,21808,21823,False,False,False,-99,15,13,False,True,Natural_Images_Lum_Matched_set_training_2017
87,1,change_detection_behavior,6,im085,-99,0.25043999999996913,371.29023783111114,371.5406778311111,21853,21868,False,False,False,-99,16,14,False,True,Natural_Images_Lum_Matched_set_training_2017
88,1,change_detection_behavior,6,im085,-99,0.2502099999999814,372.04084783111114,372.2910578311111,21898,21913,False,False,False,-99,17,14,False,True,Natural_Images_Lum_Matched_set_training_2017
89,1,change_detection_behavior,6,im085,-99,0.25020000000000664,372.7914678311111,373.0416678311111,21943,21958,False,False,False,-99,18,14,False,True,Natural_Images_Lum_Matched_set_training_2017
90,1,change_detection_behavior,6,im085,-99,0.2501800000000003,373.5420978311111,373.7922778311111,21988,22003,False,False,False,-99,19,14,False,True,Natural_Images_Lum_Matched_set_training_2017
91,1,change_detection_behavior,6,im085,-99,0.25020000000000664,374.2926878311111,374.5428878311111,22033,22048,False,False,False,-99,20,14,False,True,Natural_Images_Lum_Matched_set_training_2017
92,1,change_detection_behavior,6,im085,-99,0.2502099999999814,375.0432878311111,375.2934978311111,22078,22093,False,False,False,-99,21,14,False,True,Natural_Images_Lum_Matched_set_training_2017
93,1,change_detection_behavior,6,im085,-99,0.250220000000013,375.7938978311111,376.0441178311111,22123,22138,False,False,False,-99,22,14,False,True,Natural_Images_Lum_Matched_set_training_2017
94,1,change_detection_behavior,6,im085,-99,0.2501500000000192,376.5445578311111,376.7947078311111,22168,22183,False,False,False,-99,23,15,False,True,Natural_Images_Lum_Matched_set_training_2017
95,1,change_detection_behavior,6,im085,-99,0.2504299999999944,377.2951378311111,377.5455678311111,22213,22228,False,False,False,-99,24,15,False,True,Natural_Images_Lum_Matched_set_training_2017
96,1,change_detection_behavior,6,im085,-99,0.2501800000000003,378.04577783111114,378.29595783111114,22258,22273,False,False,False,-99,25,15,False,True,Natural_Images_Lum_Matched_set_training_2017
97,1,change_detection_behavior,6,im085,-99,0.25014999999996235,378.79647783111113,379.0466278311111,22303,22318,False,False,False,-99,26,15,False,True,Natural_Images_Lum_Matched_set_training_2017
98,1,change_detection_behavior,6,im085,-99,0.25022999999998774,379.5469778311111,379.7972078311111,22348,22363,False,False,False,-99,27,15,False,True,Natural_Images_Lum_Matched_set_training_2017
99,1,change_detection_behavior,6,im085,-99,0.2501900000000319,380.2975978311111,380.5477878311111,22393,22408,False,False,False,-99,28,15,False,True,Natural_Images_Lum_Matched_set_training_2017
100,1,change_detection_behavior,6,im085,-99,0.25035000000002583,381.0481978311111,381.29854783111114,22438,22453,False,False,False,-99,29,15,False,True,Natural_Images_Lum_Matched_set_training_2017
101,1,change_detection_behavior,6,im085,-99,0.25021000000003824,381.7988078311111,382.04901783111114,22483,22498,False,False,False,-99,30,15,False,True,Natural_Images_Lum_Matched_set_training_2017
102,1,change_detection_behavior,6,im085,-99,0.2502799999999752,382.54944783111114,382.7997278311111,22528,22543,False,False,False,-99,31,16,False,True,Natural_Images_Lum_Matched_set_training_2017
103,1,change_detection_behavior,6,im085,-99,0.2501900000000319,383.3000478311111,383.55023783111113,22573,22588,False,False,False,-99,32,16,False,True,Natural_Images_Lum_Matched_set_training_2017
