id,imaging_depth,targeted_structure,cre_line,reporter_line,donor_name,specimen_name,tags,failed
575892535,275,VISrl,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),296702,Emx1-IRES-Cre;Camk2a-tTA;Ai93-296702,[],False
686031104,275,VISl,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),377321,Sst-IRES-Cre;Ai148-377321,[],False
572376866,375,VISal,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),291865,Rbp4-Cre_KL100;Camk2a-tTA;Ai93-291865,[],False
540168835,375,VISp,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),261458,Emx1-IRES-Cre;Camk2a-tTA;Ai93-261458,[],False
1018028370,225,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),435431,Vip-IRES-Cre;Ai148-435431,[],False
569396922,275,VISal,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),284418,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-284418,[],False
593337825,275,VISl,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),306506,Sst-IRES-Cre;Ai148(CAM)-306506,[],False
569287964,175,VISam,Cux2-CreERT2,Ai93(TITL-GCaMP6f),282820,Cux2-CreERT2;Camk2a-tTA;Ai93-282820,[],False
561472631,275,VISal,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),280639,Emx1-IRES-Cre;Camk2a-tTA;Ai93-280639,[],False
577379200,375,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),296891,Sst-IRES-Cre;Ai148(CAM)-296891,[],False
551888517,275,VISpm,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),268133,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-268133,[],False
524691282,275,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),243293,Cux2-CreERT2;Camk2a-tTA;Ai93-243293,[],False
546724786,350,VISp,Scnn1a-Tg3-Cre,Ai93(TITL-GCaMP6f),262562,Scnn1a-Tg3-Cre;Camk2a-tTA;Ai93-262562,[],False
939523510,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),457766,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-457766,[],False
688678764,205,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),371307,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-371307,[],False
657391623,375,VISl,Tlx3-Cre_PL56,Ai148(TIT2L-GC6f-ICL-tTA2),357093,Tlx3-Cre_PL56;Ai148-357093,[],False
876693136,175,VISp,Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),442709,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94-442709,[],False
511510710,375,VISal,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),226219,Rbp4-Cre;Camk2a-tTA;Ai93-226219,[],False
538803515,350,VISp,Nr5a1-Cre,Ai93(TITL-GCaMP6f),257786,Nr5a1-Cre;Camk2a-tTA;Ai93-257786,[],False
698260530,175,VISrl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),382423,Cux2-CreERT2;Camk2a-tTA;Ai93-382423,[],False
576411244,275,VISam,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),295995,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-295995,[],False
671164925,275,VISl,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),373760,Pvalb-IRES-Cre;Ai162-373760,[],False
575766605,275,VISpm,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f)-hyg,296708,Emx1-IRES-Cre;Camk2a-tTA;Ai93-hyg-296708,[],False
1051327176,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),523927,Vip-IRES-Cre;Ai148-523927,[],False
584829664,275,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),300657,Vip-IRES-Cre;Ai148-300657,[],False
702956471,275,VISl,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),384940,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-384940,[],False
551412603,275,VISam,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),265161,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-265161,[],False
658536109,275,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),361636,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-361636,[],False
598635819,275,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),315559,Sst-IRES-Cre;Ai148(CAM)-315559,[],False
658020689,175,VISpm,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),360906,Vip-IRES-Cre;Ai148-360906,[],False
657016265,375,VISp,Tlx3-Cre_PL56,Ai148(TIT2L-GC6f-ICL-tTA2),357093,Tlx3-Cre_PL56;Ai148-357093,[],False
991913064,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),491060,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-491060,[],False
1000740620,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),492395,Vip-IRES-Cre;Ai148-492395,[],False
1018027611,225,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),449653,Vip-IRES-Cre;Ai148-449653,[],False
614571624,175,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),336243,Vip-IRES-Cre;Ai148-336243,[],False
573864648,175,VISrl,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),296702,Emx1-IRES-Cre;Camk2a-tTA;Ai93-296702,[],False
570994450,175,VISam,Cux2-CreERT2,Ai93(TITL-GCaMP6f),283278,Cux2-CreERT2;Camk2a-tTA;Ai93-283278,[],False
791352433,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),412036,Vip-IRES-Cre;Ai148-412036,[],False
652092674,275,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),350249,Vip-IRES-Cre;Ai148-350249,[],False
708949511,275,VISam,Cux2-CreERT2,Ai93(TITL-GCaMP6f),382423,Cux2-CreERT2;Camk2a-tTA;Ai93-382423,[],False
511510695,175,VISal,Cux2-CreERT2,Ai93(TITL-GCaMP6f),222425,Cux2-CreERT2;Camk2a-tTA;Ai93-222425,[],False
680150731,375,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),373762,Pvalb-IRES-Cre;Ai162-373762,[],False
666271537,550,VISl,Ntsr1-Cre_GN220,Ai148(TIT2L-GC6f-ICL-tTA2),370771,Ntsr1-Cre_GN220;Ai148-370771,[],False
606802465,175,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),326489,Vip-IRES-Cre;Ai148-326489,[],False
657014785,275,VISpm,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),356797,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-356797,[],False
639251930,375,VISpm,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),340854,Sst-IRES-Cre;Ai148-340854,[],False
562536151,375,VISal,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),280639,Emx1-IRES-Cre;Camk2a-tTA;Ai93-280639,[],False
601790879,375,VISl,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),312763,Rbp4-Cre_KL100;Camk2a-tTA;Ai93-312763,[],False
572606380,375,VISl,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),291462,Rbp4-Cre_KL100;Camk2a-tTa;Ai93-291462,[],False
511511052,275,VISal,Cux2-CreERT2,Ai93(TITL-GCaMP6f),228378,Cux2-CreERT2;Camk2a-tTA;Ai93-228378,[],False
911248946,375,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),464204,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-464204,[],False
1052096570,225,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),528097,Vip-IRES-Cre;Ai148-528097,[],False
895259496,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),461946,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-461946,[],False
647595663,175,VISl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),348262,Cux2-CreERT2;Camk2a-tTA;Ai93-348262,[],False
